NAMES_STD,excess_deaths_per_million
New Zealand,-434.83075
Mongolia,-413.86145
Mauritius,-279.85544
Australia,-168.66872
Japan,-158.92426
Philippines,-84.184364
Malaysia,-76.558212
Singapore,-38.114349
Denmark,-3.5222661
South Korea,-2.8097358
Norway,11.18682
Thailand,12.613973
Qatar,126.00044
Costa Rica,175.42957
Finland,183.60167
Tunisia,197.18945
Paraguay,250.31227
Cyprus,258.18964
Oman,263.12753
Luxembourg,349.05911
Israel,356.42654
Estonia,378.47891
Canada,413.25131
Germany,428.97992
Uzbekistan,529.18994
Latvia,544.55823
Greece,592.28247
Panama,658.12152
Chile,745.50311
France,827.7782
Sweden,861.85046
Netherlands,915.85712
Austria,930.05823
Tajikistan,932.49695
Brazil,948.1037
Ukraine,962.1701
Colombia,979.06519
Switzerland,1066.8431
Kyrgyz Republic,1082.2737
Slovak Republic,1113.9175
Portugal,1137.7568
South Africa,1193.6868
Georgia,1206.2157
United Kingdom,1256.2744
Moldova,1313.9386
Hungary,1318.9299
United States,1457.4342
Croatia,1484.376
Slovenia,1560.7153
Spain,1574.6256
Belgium,1583.5623
Czech Republic,1595.0073
Kazakhstan,1602.3585
Yugoslavia,1624.1624
Poland,1727.5099
Italy,1816.0811
Bolivia,1893.6908
Azerbaijan,1897.5254
Romania,1993.7872
Albania,2064.314
Ecuador,2247.4929
Mexico,2379.2976
Lithuania,2389.5103
Russia,2457.0784
Macedonia,2540.2871
Bulgaria,2561.9626
Peru,2631.4028
Armenia,3326.1631
